language,name,description,category,students,instructor,link
English,Engineering Drawing / Graphics : Hands-on Training,"Master Technical Drawing with Orthographic & Isometric Projections, Engineering curves, Projection of Solids and DLS",Teaching & Academics,Undefined,Easy learning,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/engineering-drawing-graphics/?couponCode=DRW12ING
English,"28 Copywriting Sales Templates, SEO & ChatGPT for E-Commerce",2 Courses in 1: SEO Copywriting Templates & Ecommerce SEO. Download PRO Ecommerce Templates. Enjoy Animations & Quizzes.,Marketing,Undefined,"Ing. Tomas Moravek, Learn Digital Advertising",https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/e-commerce-seo-2023/?couponCode=HAPPYWOODDRAGON1
English,PMI-ACP®: Agile Certified Project Management 200 Questions,The Complete PMI ACP® Practice Test - 200Q - Pass PMI ACP® Certification Exam Successfully - Lets Get it Done !,IT & Software,Undefined,Debajyoti Adhya,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/pmi-acp-practice-exams-agile-certified-practitioner-200-q/?couponCode=75FA29F79CD83A2269D4
English,PSPO1 Practice Tests Scrum Product Owner certification-160Q,The Complete PSPO1 Practice Test - 160Q - Pass PSPO1 Certification Exam Successfully - Lets Get it Done !,IT & Software,Undefined,Debajyoti Adhya,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/pspo1tm-practice-tests-scrum-product-owner-certification-160q/?couponCode=C5E6DFA5437B5E944687
English,Microsoft AZ-900: Azure Fundamentals Exam Preparation Test,Pass AZ-900 Cloud Certification Exam 110Q Practice Set,IT & Software,Undefined,Debajyoti Adhya,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/az-900-microsoft-azure-fundamentals-exam-preparation-test/?couponCode=F6D9AB9FB16F9578E1CE
English,PMP® Practice Test: Project Management Professional 2021,Prepare yourself to pass the PMP® certification exam in 2021 The Complete PMP® Practice Test - 360 Questions,IT & Software,Undefined,Debajyoti Adhya,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/pmp-practice-test-project-management-professional-2021/?couponCode=E393B4CE8B7D6656E437
English,Microsoft AZ-104: Azure Administrator Exam Prep Test,Pass AZ-104 Cloud Certification Exam 165Q Practice Set,IT & Software,Undefined,Debajyoti Adhya,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/microsoft-az-104-azure-administrator-exam-prep-test/?couponCode=0E6105CD1BE8C578325A
English,Aerospace Engineering: Aircraft Design Project Course,Mastering Aircraft Design: From Concepts to Creation,Teaching & Academics,Undefined,Petar Dimov,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/aerospace-engineering-aircraft-design-project-course/?couponCode=FEB2-FREE
English,Strategic Human Resource Management (SHRM) Certification,"The Complete SHRM Certification: Strategic Insights, Certification Success",Business,Undefined,Petar Dimov,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/strategic-human-resource-management-shrm-certification-q/?couponCode=FEB2-FREE
English,Sarbanes-Oxley & ISO 9001: Mastering Corporate Governance,Unlocking Governance Excellence: The Complete Sarbanes-Oxley & ISO 9001 Course,Business,Undefined,Petar Dimov,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/sarbanes-oxley-iso-9001-mastering-corporate-governance/?couponCode=FEB2-FREE
